City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Geraldton,AU,-28.7667,114.6,97.21,17,100,21.85,overcast clouds
1,Aklavik,CA,68.2191,-135.0107,0.32,95,100,21.65,snow
2,Bethel,US,41.3712,-73.414,41.99,69,7,1.01,clear sky
3,Port Alfred,ZA,-33.5906,26.891,70.52,84,93,1.72,overcast clouds
4,Waddan,LY,29.1614,16.139,56.55,37,97,5.61,overcast clouds
5,Atuona,PF,-9.8,-139.0333,78.64,74,78,16.26,broken clouds
6,Ajdabiya,LY,30.7554,20.2263,54.61,52,72,9.8,broken clouds
7,New Norfolk,AU,-42.7826,147.0587,64.71,29,19,3.62,few clouds
8,Castro,BR,-24.7911,-50.0119,65.93,62,46,3.02,scattered clouds
9,Verkhnyaya Inta,RU,65.9811,60.3094,-1.89,82,69,8.97,broken clouds
10,Cape Town,ZA,-33.9258,18.4232,63.01,89,75,1.01,broken clouds
11,Kirakira,SB,-10.4544,161.9205,85.1,74,100,5.23,overcast clouds
12,Ushuaia,AR,-54.8,-68.3,53.26,43,20,17.27,few clouds
13,Busselton,AU,-33.65,115.3333,83.05,40,98,10.83,overcast clouds
14,Rikitea,PF,-23.1203,-134.9692,74.86,87,100,25.52,light rain
15,Victoria,HK,22.2855,114.1577,50.38,84,100,4.0,overcast clouds
16,Vaini,TO,-21.2,-175.2,84.36,84,75,5.75,volcanic ash
17,Qena,EG,26.1615,32.7183,51.94,40,41,4.36,scattered clouds
18,Nemencine,LT,54.85,25.4833,20.34,97,54,5.37,broken clouds
19,Upernavik,GL,72.7868,-56.1549,-6.65,100,99,14.67,overcast clouds
20,Coos Bay,US,43.3665,-124.2179,39.92,96,90,16.11,mist
21,Lexington,US,37.9887,-84.4777,50.99,78,1,1.01,clear sky
22,Okhotsk,RU,59.3833,143.3,-21.17,82,2,16.58,clear sky
23,Yellowknife,CA,62.456,-114.3525,-12.59,87,40,5.75,scattered clouds
24,Bara,NG,10.3744,10.7288,69.89,29,8,6.31,clear sky
25,Mataura,NZ,-46.1927,168.8643,59.49,81,100,2.48,overcast clouds
26,Sinnamary,GF,5.3833,-52.95,78.17,89,93,11.1,overcast clouds
27,San Patricio,US,28.017,-97.5169,76.98,77,0,14.47,clear sky
28,Butaritari,KI,3.0707,172.7902,82.35,73,68,12.19,broken clouds
29,Pangnirtung,CA,66.1451,-65.7125,2.71,60,20,7.31,few clouds
30,Hermanus,ZA,-34.4187,19.2345,68.81,90,8,4.85,clear sky
31,Puerto Ayora,EC,-0.7393,-90.3518,70.32,87,97,8.41,overcast clouds
32,Mar Del Plata,AR,-38.0023,-57.5575,64.09,82,40,1.99,scattered clouds
33,Caransebes,RO,45.4167,22.2167,44.15,94,100,2.77,light rain
34,Saint-Pierre,RE,-21.3393,55.4781,76.68,91,10,3.44,clear sky
35,Kapaa,US,22.0752,-159.319,78.78,75,40,1.01,light rain
36,Kautokeino,NO,69.0125,23.0412,2.41,98,97,2.77,overcast clouds
37,Avarua,CK,-21.2078,-159.775,78.85,73,75,10.36,light rain
38,Vestmannaeyjar,IS,63.4427,-20.2734,35.69,71,100,13.06,light rain
39,Brigantine,US,39.4101,-74.3646,47.03,71,1,8.05,clear sky
40,Devils Lake,US,48.1128,-98.8651,8.58,83,90,17.0,snow
41,San Policarpo,PH,12.1791,125.5072,79.92,81,74,19.93,broken clouds
42,Barreirinhas,BR,-2.7469,-42.8264,79.59,76,84,7.36,broken clouds
43,Mahebourg,MU,-20.4081,57.7,75.25,82,40,10.0,scattered clouds
44,Qaanaaq,GL,77.484,-69.3632,-8.28,94,97,5.61,overcast clouds
45,Koscierzyna,PL,54.1223,17.9812,26.29,93,8,3.74,clear sky
46,Sao Filipe,CV,14.8961,-24.4956,76.82,64,0,7.76,clear sky
47,Leningradskiy,RU,69.3833,178.4167,-20.49,95,98,6.64,overcast clouds
48,Arraial Do Cabo,BR,-22.9661,-42.0278,74.01,83,0,18.77,clear sky
49,Lata,PT,40.1629,-8.3327,60.08,96,97,10.96,overcast clouds
50,Sarkand,KZ,45.41,79.9186,26.1,76,100,5.35,overcast clouds
51,Karasjok,NO,69.4719,25.5112,5.11,99,100,2.98,overcast clouds
52,Paamiut,GL,61.994,-49.6678,22.06,73,4,6.31,clear sky
53,Norman Wells,CA,65.282,-126.8329,-9.36,77,40,26.46,scattered clouds
54,Barrow,US,71.2906,-156.7887,-3.98,77,90,18.41,light snow
55,Poum,NC,-20.2333,164.0167,81.73,77,70,14.05,broken clouds
56,Saint-Georges,GD,12.0564,-61.7485,76.68,78,0,6.91,clear sky
57,Boyolangu,ID,-8.1181,111.8935,80.2,83,100,5.75,overcast clouds
58,Weligama,LK,5.9667,80.4167,71.2,89,15,7.14,few clouds
59,Bhainsa,IN,26.9548,76.9012,57.76,61,91,5.84,overcast clouds
60,Zhigansk,RU,66.7697,123.3711,-33.79,99,100,5.3,overcast clouds
61,Sembakung,ID,3.8167,117.25,76.93,97,100,2.26,moderate rain
62,Gat,IL,31.61,34.7642,55.4,56,0,1.74,clear sky
63,Albany,US,42.6001,-73.9662,37.09,78,40,3.0,scattered clouds
64,Los Llanos De Aridane,ES,28.6585,-17.9182,61.12,87,0,3.0,clear sky
65,Saint Anthony,US,45.0205,-93.218,31.93,69,90,8.01,light snow
66,Prince Rupert,CA,54.3161,-130.3201,17.29,43,1,6.91,clear sky
67,Iquique,CL,-20.2208,-70.1431,70.25,83,42,1.9,scattered clouds
68,Bethanien,NA,-26.502,17.1583,60.33,54,0,6.24,clear sky
69,Bonthe,SL,7.5264,-12.505,79.09,80,68,4.97,broken clouds
70,Ilinskiy,RU,55.619,38.1182,10.98,72,40,8.95,scattered clouds
71,Kodiak,US,57.79,-152.4072,43.29,82,47,7.11,scattered clouds
72,Tecpan,GT,14.7623,-90.9947,58.32,85,1,1.57,clear sky
73,Gejiu,CN,23.306,103.1635,42.64,96,94,4.88,overcast clouds
74,Pasighat,IN,28.0667,95.3333,54.43,58,73,2.95,broken clouds
75,Aksarka,RU,66.5606,67.7975,9.27,93,100,14.54,overcast clouds
76,Ferme-Neuve,CA,46.7001,-75.4493,15.58,85,100,9.13,overcast clouds
77,Port Hardy,CA,50.6996,-127.4199,23.0,45,2,7.2,clear sky
78,Punta Arenas,CL,-53.15,-70.9167,57.31,44,75,12.66,broken clouds
79,Thompson,CA,55.7435,-97.8558,-29.04,75,75,0.0,broken clouds
80,Konibodom,TJ,40.2843,70.4426,29.97,79,100,11.39,overcast clouds
81,Itoman,JP,26.1247,127.6694,59.02,58,75,17.27,broken clouds
82,Saint-Philippe,RE,-21.3585,55.7679,76.59,87,62,11.05,light rain
83,Andra,RU,62.5147,65.8878,9.14,94,100,12.33,light snow
84,Painesville,US,41.7245,-81.2457,38.55,88,75,0.0,broken clouds
85,Sola,VU,-13.8833,167.55,86.67,74,75,0.0,broken clouds
86,Yerbogachen,RU,61.2767,108.0108,-10.07,87,100,2.37,overcast clouds
87,Arman,RU,59.7,150.1667,-13.43,78,66,13.11,broken clouds
88,Naze,JP,28.3667,129.4833,49.12,65,100,13.87,overcast clouds
89,Khatanga,RU,71.9667,102.5,-34.91,100,72,4.0,broken clouds
90,Cabo San Lucas,MX,22.8909,-109.9124,79.52,69,1,4.61,clear sky
91,Zaysan,KZ,47.4667,84.8667,8.24,80,46,4.25,scattered clouds
92,Lorengau,PG,-2.0226,147.2712,83.21,78,95,7.52,overcast clouds
93,Clyde River,CA,70.4692,-68.5914,-7.37,77,94,13.8,overcast clouds
94,Segou,ML,13.4317,-6.2157,77.23,15,94,10.47,overcast clouds
95,Koygorodok,RU,60.445,50.9968,7.05,91,100,8.9,overcast clouds
96,Bluff,NZ,-46.6,168.3333,59.81,61,34,13.87,scattered clouds
97,Gazanjyk,TM,39.2446,55.5154,34.77,81,19,15.55,few clouds
98,Basco,PH,20.4487,121.9702,73.04,70,99,31.18,overcast clouds
99,Ambilobe,MG,-13.2,49.05,74.66,80,55,3.67,broken clouds
100,Hervey Bay,AU,-25.2986,152.8535,79.03,85,100,5.99,light rain
101,Plettenberg Bay,ZA,-34.0527,23.3716,65.53,97,53,4.07,moderate rain
102,Sterling,US,39.0062,-77.4286,54.21,53,20,11.5,few clouds
103,Bathsheba,BB,13.2167,-59.5167,75.81,73,20,9.22,few clouds
104,Kudahuvadhoo,MV,2.6708,72.8944,81.0,66,28,15.35,scattered clouds
105,Pokhara,NP,28.2333,83.9833,50.27,54,82,5.39,broken clouds
106,Newcastleton,GB,55.1796,-2.8127,41.23,99,100,2.71,overcast clouds
107,Bredasdorp,ZA,-34.5322,20.0403,68.29,94,77,2.3,broken clouds
108,East London,ZA,-33.0153,27.9116,71.26,70,100,6.22,overcast clouds
109,Riyadh,SA,24.6877,46.7219,50.14,59,21,2.73,few clouds
110,Inirida,CO,3.8653,-67.9239,78.22,87,46,1.32,scattered clouds
111,Kristianstad,SE,56.0313,14.1524,22.84,92,90,0.0,fog
112,Dikson,RU,73.5069,80.5464,-5.08,87,69,19.71,broken clouds
113,Hilo,US,19.7297,-155.09,79.29,58,40,11.5,scattered clouds
114,Ponta Do Sol,PT,32.6667,-17.1,69.01,88,86,5.08,overcast clouds
115,Chicama,PE,-7.8447,-79.1469,64.94,75,91,6.38,overcast clouds
116,Coihaique,CL,-45.5752,-72.0662,64.35,63,75,3.44,broken clouds
117,Provideniya,RU,64.3833,-173.3,8.71,78,75,13.42,light snow
118,Marzuq,YE,14.4,46.4667,60.58,25,0,3.29,clear sky
119,Hasaki,JP,35.7333,140.8333,36.28,36,0,14.7,clear sky
120,Alyangula,AU,-13.8483,136.4192,82.27,94,90,9.22,light rain
121,Korla,CN,41.7597,86.1469,16.21,72,18,1.7,few clouds
122,Port Blair,IN,11.6667,92.75,78.37,77,11,10.07,few clouds
123,Birao,CF,10.2849,22.7882,73.33,22,100,7.56,overcast clouds
124,Tuktoyaktuk,CA,69.4541,-133.0374,-0.4,78,90,26.46,light snow
125,Harper,LR,4.375,-7.7169,79.63,87,13,7.92,light rain
126,Iranshahr,IR,27.2025,60.6848,57.54,26,0,6.91,clear sky
127,Santa Lucia,ES,27.9117,-15.5407,58.32,82,75,10.36,broken clouds
128,Cherskiy,RU,68.75,161.3,-22.56,98,100,9.64,overcast clouds
129,Codrington,AU,-38.2667,141.9667,61.77,51,90,20.18,overcast clouds
130,Kisangani,CD,0.5167,25.2,71.46,97,99,0.45,overcast clouds
131,Tamandare,BR,-8.7597,-35.1047,77.83,84,100,4.99,light rain
132,Kushima,JP,31.4583,131.2333,38.71,55,6,8.5,clear sky
133,The Valley,AI,18.217,-63.0578,79.83,78,40,5.75,scattered clouds
134,Lebu,CL,-37.6167,-73.65,59.13,84,35,19.77,scattered clouds
135,Vao,NC,-22.6667,167.4833,77.61,76,76,5.46,broken clouds
136,Hillsborough,US,37.5741,-122.3794,50.2,86,90,4.61,light rain
137,Kutum,SD,14.2,24.6667,59.77,24,100,6.96,overcast clouds
138,Kavieng,PG,-2.5744,150.7967,83.34,79,99,9.31,moderate rain
139,Jamestown,US,42.097,-79.2353,34.92,83,90,3.0,overcast clouds
140,Georgetown,MY,5.4112,100.3354,80.53,85,20,1.14,few clouds
141,Airai,TL,-8.9266,125.4092,60.85,96,96,3.51,light rain
142,North Bay,CA,46.3168,-79.4663,15.94,83,75,4.61,light snow
143,Santa Ana,US,33.7456,-117.8678,59.65,59,40,1.99,scattered clouds
144,Doha,QA,25.2867,51.5333,62.58,61,0,10.36,clear sky
145,Itaituba,BR,-4.2761,-55.9836,78.96,94,20,0.0,few clouds
146,Ahipara,NZ,-35.1667,173.1667,76.51,58,99,6.87,overcast clouds
147,Hobart,AU,-42.8794,147.3294,65.05,45,40,4.0,scattered clouds
148,Rocha,UY,-34.4833,-54.3333,62.17,73,2,5.46,clear sky
149,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.15,85,0,10.02,clear sky
150,Hualmay,PE,-11.0964,-77.6139,69.04,82,16,7.45,few clouds
151,Auki,SB,-8.7676,160.7034,83.5,79,100,6.08,overcast clouds
152,Port Macquarie,AU,-31.4333,152.9167,75.88,88,78,11.88,light rain
153,Yar-Sale,RU,66.8333,70.8333,8.01,84,90,19.66,overcast clouds
154,Ribeira Grande,PT,38.5167,-28.7,63.75,82,47,35.84,scattered clouds
155,Saskylakh,RU,71.9167,114.0833,-23.73,97,87,5.7,overcast clouds
156,Zlitan,LY,32.4674,14.5687,60.75,39,63,14.76,broken clouds
157,Alofi,NU,-19.0595,-169.9187,84.09,70,86,6.91,overcast clouds
158,Novyy Urgal,RU,51.0736,132.5642,-39.06,100,62,0.85,broken clouds
159,Kruisfontein,ZA,-34.0033,24.7314,65.88,91,76,3.62,light rain
160,Kerman,IR,30.2832,57.0788,33.66,60,0,4.61,clear sky
161,Chokurdakh,RU,70.6333,147.9167,-28.7,100,100,3.89,overcast clouds
162,Pevek,RU,69.7008,170.3133,-16.38,98,100,3.89,overcast clouds
163,Bayanday,RU,53.0661,105.5139,-13.95,99,83,4.52,broken clouds
164,Isangel,VU,-19.55,169.2667,86.11,79,75,2.3,broken clouds
165,Grand Gaube,MU,-20.0064,57.6608,75.38,90,38,1.99,scattered clouds
166,Nikolskoye,RU,59.7035,30.7861,15.69,93,97,7.9,overcast clouds
167,Bushenyi,UG,-0.5853,30.2114,58.1,95,81,3.53,broken clouds
168,Teknaf,BD,20.8624,92.3058,61.75,72,0,5.66,clear sky
169,Caconda,AO,-13.7333,15.0667,58.66,74,100,4.68,overcast clouds
170,Maniago,IT,46.1706,12.7078,42.13,86,98,2.64,overcast clouds
171,Marawi,PH,7.9986,124.2928,70.65,85,100,1.57,overcast clouds
172,Khandbari,NP,27.3747,87.2039,47.84,78,70,3.02,broken clouds
173,Bandarbeyla,SO,9.4942,50.8122,75.67,73,19,11.63,few clouds
174,The Pas,CA,53.8251,-101.2541,-14.78,70,75,5.75,broken clouds
175,Sibolga,ID,1.7427,98.7792,75.87,86,31,3.27,scattered clouds
176,Tiksi,RU,71.6872,128.8694,-7.85,96,100,5.01,overcast clouds
177,Bend,US,44.0582,-121.3153,25.88,74,1,1.01,light snow
178,Port Elizabeth,ZA,-33.918,25.5701,68.09,94,0,4.61,clear sky
179,Narsaq,GL,60.9167,-46.05,37.62,62,39,7.61,scattered clouds
180,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,81.19,44,67,1.54,broken clouds
181,Lukovetskiy,RU,64.2956,41.9211,-23.82,100,91,1.95,overcast clouds
182,Taoudenni,ML,22.6783,-3.9836,69.75,26,7,7.76,clear sky
183,Mitchell,US,43.7094,-98.0298,31.98,84,90,14.0,overcast clouds
184,Emerald,AU,-23.5333,148.1667,79.34,70,100,7.81,overcast clouds
185,Hirata,JP,35.4333,132.8167,33.82,93,75,16.11,light shower snow
186,Tuy Hoa,VN,13.0833,109.3,73.51,91,77,4.99,broken clouds
187,Quatre Cocos,MU,-20.2078,57.7625,75.09,83,47,10.31,scattered clouds
188,Bambous Virieux,MU,-20.3428,57.7575,75.22,82,44,10.29,scattered clouds
189,Venice,US,27.0998,-82.4543,69.84,87,1,3.44,clear sky
190,Najran,SA,17.4924,44.1277,56.05,29,4,3.53,clear sky
191,Xining,CN,36.6167,101.7667,11.48,66,19,1.25,few clouds
192,Ostrovnoy,RU,68.0531,39.5131,13.44,93,100,3.42,light snow
193,Ancud,CL,-41.8697,-73.8203,67.53,85,38,4.45,scattered clouds
194,Salalah,OM,17.0151,54.0924,71.69,73,0,3.44,clear sky
195,Pisco,PE,-13.7,-76.2167,69.85,83,0,16.11,clear sky
196,Ponta Delgada,PT,37.7333,-25.6667,65.12,77,40,23.02,scattered clouds
197,Canico,PT,32.6333,-16.85,69.01,89,20,3.0,few clouds
198,Zlobin,HR,45.2924,14.6541,38.5,77,40,10.36,scattered clouds
199,Puerto Madero,MX,14.7208,-92.4215,80.8,78,1,3.44,clear sky
200,Berwick,US,41.0545,-76.2333,42.15,69,21,5.68,few clouds
201,Hamilton,US,39.1834,-84.5333,50.94,68,1,4.61,clear sky
202,Patitirion,GR,39.15,23.8667,57.38,76,70,13.35,broken clouds
203,Hun,LY,29.1268,15.9477,56.26,37,93,5.12,overcast clouds
204,Abu Kamal,SY,34.4506,40.9171,43.03,47,0,2.8,clear sky
205,Japura,ID,-0.3167,102.35,73.2,98,73,1.41,broken clouds
206,Kaitangata,NZ,-46.2817,169.8464,58.93,61,100,1.28,light rain
207,Beringovskiy,RU,63.05,179.3167,-15.75,92,17,11.34,few clouds
208,La Playona,HN,15.1167,-88.9833,78.37,96,22,2.04,few clouds
209,Ornskoldsvik,SE,63.2909,18.7153,9.55,85,25,9.22,scattered clouds
210,Tasiilaq,GL,65.6145,-37.6368,17.76,61,0,5.61,clear sky
211,Pareora,NZ,-44.4871,171.2132,58.17,96,100,6.67,light rain
212,Hithadhoo,MV,-0.6,73.0833,81.61,67,34,11.41,scattered clouds
213,Hobyo,SO,5.3505,48.5268,77.72,74,24,16.24,few clouds
214,Zlatoust,RU,55.1711,59.6508,7.36,95,99,4.74,overcast clouds
215,Benghazi,LY,32.1167,20.0667,57.11,58,38,15.57,scattered clouds
216,Katsuura,JP,35.1333,140.3,45.19,31,10,9.66,clear sky
217,Axim,GH,4.8699,-2.2405,80.24,85,88,4.88,overcast clouds
218,Sarakhs,IR,36.5449,61.1577,36.23,70,53,8.55,broken clouds
219,Bengkulu,ID,-3.8004,102.2655,75.56,89,85,4.79,overcast clouds
220,Pundaguitan,PH,6.3711,126.1689,81.23,77,98,16.55,overcast clouds
221,Carnarvon,AU,-24.8667,113.6333,77.07,83,76,13.8,broken clouds
222,Chateaubelair,VC,13.2833,-61.25,76.28,70,96,6.67,overcast clouds
223,Cidreira,BR,-30.1811,-50.2056,71.73,88,28,5.59,scattered clouds
224,Marquette,US,46.5333,-87.6335,20.77,79,100,8.7,overcast clouds
225,Yulara,AU,-25.2406,130.9889,87.64,19,0,16.11,clear sky
226,Hofn,IS,64.2539,-15.2082,29.59,69,100,14.92,overcast clouds
227,West Plains,US,36.7281,-91.8524,62.28,93,90,3.0,overcast clouds
228,Borova,UA,50.1763,30.1043,22.33,93,9,4.81,clear sky
229,Otane,NZ,-39.8833,176.6333,73.38,26,54,5.21,broken clouds
230,Saint George,US,37.1041,-113.5841,50.95,39,1,3.0,clear sky
231,Klyuchi,RU,52.2667,79.1667,20.08,96,100,5.03,light snow
232,Avera,US,33.194,-82.5271,67.53,91,12,6.6,few clouds
233,Ferkessedougou,CI,9.6,-5.2,78.39,21,81,4.0,broken clouds
